ticker,name,cik,exchange,sector,industry
JPM,JPMORGAN CHASE & CO,0000019617,NYSE,Financials,Diversified Banks
BAC,BANK OF AMERICA CORP /DE/,0000070858,NYSE,Financials,Diversified Banks
WFC,WELLS FARGO & COMPANY/MN,0000072971,NYSE,Financials,Diversified Banks
C,CITIGROUP INC,0000831001,NYSE,Financials,Diversified Banks
GS,GOLDMAN SACHS GROUP INC,0000886982,NYSE,Financials,Investment Banking & Brokerage
MS,MORGAN STANLEY,0000895421,NYSE,Financials,Investment Banking & Brokerage
SCHW,SCHWAB CHARLES CORP,0000316709,NYSE,Financials,Investment Banking & Brokerage
BLK,"BlackRock, Inc.",0002012383,NYSE,Financials,Asset Management
AXP,AMERICAN EXPRESS CO,0000004962,NYSE,Financials,Consumer Finance
V,VISA INC.,0001403161,NYSE,Financials,Payments & Transaction Processing
MA,Mastercard Inc,0001141391,NYSE,Financials,Payments & Transaction Processing
SPGI,S&P Global Inc.,0000064040,NYSE,Financials,Financial Data & Ratings
ICE,"Intercontinental Exchange, Inc.",0001571949,NYSE,Financials,Securities Exchanges
CB,Chubb Ltd,0000896159,NYSE,Financials,Property & Casualty Insurance
ORCL,ORACLE CORP,0001341439,NYSE,Information Technology,Enterprise Software & Cloud Infrastructure
CRM,"Salesforce, Inc.",0001108524,NYSE,Information Technology,Application Software
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,NYSE,Information Technology,IT Services & Hybrid Cloud
ACN,Accenture plc,0001467373,NYSE,Information Technology,IT Consulting & Services
NOW,"ServiceNow, Inc.",0001373715,NYSE,Information Technology,Application Software
ANET,"Arista Networks, Inc.",0001596532,NYSE,Information Technology,Data Center Networking Equipment
DELL,Dell Technologies Inc.,0001571996,NYSE,Information Technology,Servers & IT Hardware
HPE,Hewlett Packard Enterprise Co,0001645590,NYSE,Information Technology,Servers & IT Hardware
VRT,Vertiv Holdings Co,0001674101,NYSE,Information Technology,Data Center Power & Cooling Equipment
MSI,"Motorola Solutions, Inc.",0000068505,NYSE,Information Technology,Communications Equipment
GLW,CORNING INC /NY,0000024741,NYSE,Information Technology,Optical Components & Specialty Glass
APH,AMPHENOL CORP /DE/,0000820313,NYSE,Information Technology,Electronic Connectors & Interconnects
TEL,TE Connectivity plc,0001385157,NYSE,Information Technology,Electronic Connectors & Sensors
